,id,startpos,endpos,text
0,2,0,496,"Wo ist die Hand so zart, daß ohne Irren
Sie sondern mag beschränkten Hirnes Wirren,
So fest, daß ohne Zittern sie den Stein
Mag schleudern auf ein arm verkümmert Sein?
Wer wagt es, eitlen Blutes Drang zu messen,
Zu wägen jedes Wort, das unvergessen
In junge Brust die zähen Wurzeln trieb,
Des Vorurteils geheimen Seelendieb?
Du Glücklicher, geboren und gehegt
Im lichten Raum, von frommer Hand gepflegt,
Leg hin die Waagschal, nimmer dir erlaubt!
Laß ruhn den Stein – er trifft dein eignes Haupt!"
1,6,498,1963,"Friedrich Mergel, geboren 1738, war der einzige Sohn eines sogenannten Halbmeiers oder Grundeigentümers geringerer Klasse im Dorfe B., das, so schlecht gebaut und rauchig es sein mag, doch das Auge jedes Reisenden fesselt durch die überaus malerische Schönheit seiner Lage in der grünen Waldschlucht eines bedeutenden und geschichtlich merkwürdigen Gebirges. Das Ländchen, dem es angehörte, war damals einer jener abgeschlossenen Erdwinkel ohne Fabriken und Handel, ohne Heerstraßen, wo noch ein fremdes Gesicht Aufsehen erregte und eine Reise von dreißig Meilen selbst den Vornehmeren zum Ulysses seiner Gegend machte – kurz, ein Fleck, wie es deren sonst so viele in Deutschland gab, mit all den Mängeln und Tugenden, all der Originalität und Beschränktheit, wie sie nur in solchen Zuständen gedeihen. Unter höchst einfachen und häufig unzulänglichen Gesetzen waren die Begriffe der Einwohner von Recht und Unrecht einigermaßen in Verwirrung geraten, oder vielmehr, es hatte sich neben dem gesetzlichen ein zweites Recht gebildet, ein Recht der öffentlichen Meinung, der Gewohnheit und der durch Vernachlässigung entstandenen Verjährung. Die Gutsbesitzer, denen die niedere Gerichtsbarkeit zustand, straften und belohnten nach ihrer in den meisten Fällen redlichen Einsicht; der Untergebene tat, was ihm ausführbar und mit einem etwas weiten Gewissen verträglich schien, und nur dem Verlierenden fiel es zuweilen ein, in alten staubichten Urkunden nachzuschlagen."
2,121,1964,3152,"Es ist schwer, jene Zeit unparteiisch ins Auge zu fassen; sie ist seit ihrem Verschwinden entweder hochmütig getadelt oder albern gelobt worden, da den, der sie erlebte, zuviel teure Erinnerungen blenden und der Spätergeborene sie nicht begreift. Soviel darf man indessen behaupten, daß die Form schwächer, der Kern fester, Vergehen häufiger, Gewissenlosigkeit seltener waren. Denn wer nach seiner Überzeugung handelt, und sei sie noch so mangelhaft, kann nie ganz zugrunde gehen, wogegen nichts seelentötender wirkt, als gegen das innere Rechtsgefühl das äußere Recht in Anspruch nehmen.
Ein Menschenschlag, unruhiger und unternehmender als alle seine Nachbarn, ließ in dem kleinen Staate, von dem wir reden, manches weit greller hervortreten als anderswo unter gleichen Umständen. Holz- und Jagdfrevel waren an der Tagesordnung, und bei den häufig vorfallenden Schlägereien hatte sich jeder selbst seines zerschlagenen Kopfes zu trösten. Da jedoch große und ergiebige Waldungen den Hauptreichtum des Landes ausmachten, ward allerdings scharf über die Forsten gewacht, aber weniger auf gesetzlichem Wege als in stets erneuten Versuchen, Gewalt und List mit gleichen Waffen zu überbieten."
3,742,3174,3246,"die hochmütigste, schlauste und kühnste Gemeinde des ganzen Fürstentums."
4,426,3247,3364,Seine Lage inmitten tiefer und stolzer Waldeinsamkeit mochte schon früh den angeborenen Starrsinn der Gemüter nähren;
5,269,3365,3582,"die Nähe eines Flusses, der in die See mündete und bedeckte Fahrzeuge trug, groß genug, um Schiffbauholz bequem und sicher außer Land zu führen, trug sehr dazu bei, die natürliche Kühnheit der Holzfrevler zu ermutigen"
6,746,3681,3757,den häufig vorkommenden Scharmützeln der Vorteil meist auf seiten der Bauern
7,323,3765,4075,"Dreißig, vierzig Wagen zogen zugleich aus in den schönen Mondnächten mit ungefähr doppelt soviel Mannschaft jedes Alters, vom halbwüchsigen Knaben bis zum siebzigjährigen Ortsvorsteher, der als erfahrener Leitbock den Zug mit gleich stolzem Bewußtsein anführte, als er seinen Sitz in der Gerichtsstube einnahm."
8,175,4076,4522,"Die Zurückgebliebenen horchten sorglos dem allmählichen Verhallen des Knarrens und Stoßens der Räder in den Hohlwegen und schliefen sacht weiter. Ein gelegentlicher Schuß, ein schwacher Schrei ließen wohl einmal eine junge Frau oder Braut auffahren; kein anderer achtete darauf. Beim ersten Morgengrau kehrte der Zug ebenso schweigend heim, die Gesichter glühend wie Erz, hier und dort einer mit verbundenem Kopf, was weiter nicht in Betracht kam"
9,750,4630,4756,"aus dem Walde getragen wurden, zerschlagen, mit Schnupftabak geblendet und für einige Zeit unfähig, ihrem Berufe nachzukommen."
10,14,4757,4807,In diesen Umgebungen ward Friedrich Mergel geboren
11,1017,4835,4901,die stolze Zugabe eines Rauchfangs und minder kleiner Glasscheiben
12,305,4902,5035,die Ansprüche seines Erbauers sowie durch seine gegenwärtige Verkommenheit die kümmerlichen Umstände des jetzigen Besitzers bezeugte.
13,652,5036,5333,"Das frühere Geländer um Hof und Garten war einem vernachlässigten Zaune gewichen, das Dach schadhaft, fremdes Vieh weidete auf den Triften, fremdes Korn wuchs auf dem Acker zunächst am Hofe, und der Garten enthielt, außer ein paar holzichten Rosenstöcken aus besserer Zeit, mehr Unkraut als Kraut."
14,16,5334,5453,Freilich hatten Unglücksfälle manches hiervon herbeigeführt; doch war auch viel Unordnung und böse Wirtschaft im Spiel.
15,18,5501,5689,"in seinem Junggesellenstande ein sogenannter ordentlicher Säufer, das heißt einer, der nur an Sonn- und Festtagen in der Rinne lag und die Woche hindurch so manierlich war wie ein anderer."
16,1612,5791,5824,Auf der Hochzeit gings lustig zu.
17,20,5918,6026,aber am nächsten Sonntage sah man die junge Frau schreiend und blutrünstig durchs Dorf zu den ihrigen rennen
18,758,6118,6180,"Skandal und Ärger für Mergel, der allerdings Trostes bedurfte."
19,1081,6219,6445,"Scheibe an seinem Hause mehr ganz, und man sah ihn noch bis spät in die Nacht vor der Türschwelle liegen, einen abgebrochenen Flaschenhals von Zeit zu Zeit zum Munde führend und sich Gesicht und Hände jämmerlich zerschneidend."
20,326,6446,6519,"Die junge Frau blieb bei ihren Eltern, wo sie bald verkümmerte und starb."
21,536,6520,6686,"Ob nun den Mergel Reue quälte oder Scham, genug, er schien der Trostmittel immer bedürftiger und fing bald an, den gänzlich verkommenen Subjekten zugezählt zu werden."
22,1348,6718,6753,Mägde brachten Schimpf und Schaden;
23,328,6801,6854,ein verlegener und zuletzt ziemlich armseliger Witwer
24,177,7047,7214,"war eine brave, anständige Person, so in den Vierzigen, in ihrer Jugend eine Dorfschönheit und noch jetzt als sehr klug und wirtlich geachtet, dabei nicht unvermögend;"
25,22,7215,7378,"und so mußte es jedem unbegreiflich sein, was sie zu diesem Schritte getrieben. Wir glauben den Grund eben in dieser ihrer selbstbewußten Vollkommenheit zu finden."
26,24,7379,7558,"Am Abend vor der Hochzeit soll sie gesagt haben: »Eine Frau, die von ihrem Manne übel behandelt wird, ist dumm oder taugt nicht: wenns mir schlecht geht, so sagt, es liege an mir."
27,1087,7586,7617,daß sie ihre Kräfte überschätzt
28,1351,7742,7800,"aber das Joch war zu drückend, um lange getragen zu werden"
29,1353,7802,7955,"und bald sah man ihn oft genug quer über die Gasse ins Haus taumeln, hörte drinnen sein wüstes Lärmen und sah Margreth eilends Tür und Fenster schließen."
30,26,7956,8454,"An einem solchen Tage – keinem Sonntage mehr – sah man sie abends aus dem Hause stürzen, ohne Haube und Halstuch, das Haar wild um den Kopf hängend, sich im Garten neben ein Krautbeet niederwerfen und die Erde mit den Händen aufwühlen, dann ängstlich um sich schauen, rasch ein Bündel Kräuter brechen und damit langsam wieder dem Hause zugehen, aber nicht hinein, sondern in die Scheune. Es hieß, an diesem Tage habe Mergel zuerst Hand an sie gelegt, obwohl das Bekenntnis nie über ihre Lippen kam."
31,28,8455,8619,"Das zweite Jahr dieser unglücklichen Ehe ward mit einem Sohne – man kann nicht sagen – erfreut; denn Margreth soll sehr geweint haben, als man ihr das Kind reichte."
32,1616,8636,8673,unter einem Herzen voll Gram getragen
33,764,8689,8720,"ein gesundes hübsches Kind, das"
34,766,8721,8757,in der frischen Luft kräftig gedieh.
35,179,8793,8868,"nie nach Hause, ohne ihm ein Stückchen Wecken oder dergleichen mitzubringen"
36,1093,8874,8994,"man meinte sogar, er sei seit der Geburt des Knaben ordentlicher geworden; wenigstens ward das Lärmen im Hause geringer."
37,494,9043,9079,um das Fest der heiligen drei Könige
38,181,9338,9430,"um so weniger darauf, da sich nach Sonnenuntergang dichtes Schneegestöber eingestellt hatte."
39,496,9598,9649,Geheul des Windes und das Klappen der Bodenfenster.
40,1095,9651,9873,"Mutter, kommt der Vater heute nicht?« fragte er. – »Nein, Kind, morgen.« – »Aber warum nicht, Mutter? Er hats doch versprochen.« – »Ach Gott, wenn der alles hielte, was er verspricht! Mach, mach voran, daß du fertig wirst!"
41,30,9875,11107,"Sie hatten sich kaum niedergelegt, so erhob sich eine Windsbraut, als ob sie das Haus mitnehmen wollte. Die Bettstatt bebte, und im Schornstein rasselte es wie ein Kobold. – »Mutter – es pocht draußen!« – »Still, Fritzchen, das ist das lockere Brett im Giebel, das der Wind jagt.« – »Nein, Mutter, an der Tür!« – »Sie schließt nicht; die Klinke ist zerbrochen. Gott, schlaf doch! Bring mich nicht um das armselige bißchen Nachtruhe.« – »Aber wenn nun der Vater kommt?« – Die Mutter drehte sich heftig im Bett um. – »Den hält der Teufel fest genug!« – »Wo ist der Teufel, Mutter?« – »Wart, du Unrast! Er steht vor der Tür und will dich holen, wenn du nicht ruhig bist!«
Friedrich ward still; er horchte noch ein Weilchen und schlief dann ein. Nach einigen Stunden erwachte er. Der Wind hatte sich gewendet und zischte jetzt wie eine Schlange durch die Fensterritze an seinem Ohr. Seine Schulter war erstarrt; er kroch tief unters Deckbett und lag aus Furcht ganz still. Nach einer Weile bemerkte er, daß die Mutter auch nicht schlief. Er hörte sie weinen und mitunter: »Gegrüßt seist du, Maria!« und »bitte für uns arme Sünder!« Die Kügelchen des Rosenkranzes glitten an seinem Gesicht hin. – Ein unwillkürlicher Seufzer entfuhr ihm."
42,1467,11156,11257,"Kind, bete ein wenig – du kannst ja schon das halbe Vaterunser – daß Gott uns bewahre vor Wasser- und"
43,32,11270,11466,"Friedrich dachte an den Teufel, wie der wohl aussehen möge. Das mannigfache Geräusch und Getöse im Hause kam ihm wunderlich vor. Er meinte, es müsse etwas Lebendiges drinnen sein und draußen auch."
44,659,11468,11637,"Hör, Mutter, gewiß, da sind Leute, die pochen.« – »Ach nein, Kind; aber es ist kein altes Brett im Hause, das nicht klappert.« – »Hör! hörst du nicht? Es ruft! Hör doch!"
45,1358,11639,11783,Die Mutter richtete sich auf; das Toben des Sturms ließ einen Augenblick nach. Man hörte deutlich an den Fensterläden pochen und mehrere Stimmen
46,61,11832,11911,Margreth stieß einen heftigen Laut aus: »Da bringen sie mir das Schwein wieder!
47,662,11913,12229,"Der Rosenkranz flog klappernd auf den Brettstuhl, die Kleider wurden herbeigerissen. Sie fuhr zum Herde, und bald darauf hörte Friedrich sie mit trotzigen Schritten über die Tenne gehen. Margreth kam gar nicht wieder; aber in der Küche war viel Gemurmel und fremde Stimmen. Zweimal kam ein fremder Mann in die Kammer"
48,188,12314,12708,"zwei Männer führten die Mutter. Sie war weiß wie Kreide und hatte die Augen geschlossen. Friedrich meinte, sie sei tot; er erhob ein fürchterliches Geschrei, worauf ihm jemand eine Ohrfeige gab, was ihn zur Ruhe brachte, und nun begriff er nach und nach aus den Reden der Umstehenden, daß der Vater von Ohm Franz Semmler und dem Hülsmeyer tot im Holze gefunden sei und jetzt in der Küche liege."
49,190,12709,12779,"Sobald Margreth wieder zur Besinnung kam, suchte sie die fremden Leute"
50,192,12793,13343,"Der Bruder blieb bei ihr, und Friedrich, dem bei strenger Strafe im Bett zu bleiben geboten war, hörte die ganze Nacht hindurch das Feuer in der Küche knistern und ein Geräusch wie von Hin- und Herrutschen und Bürsten. Gesprochen ward wenig und leise, aber zuweilen drangen Seufzer herüber, die dem Knaben, so jung er war, durch Mark und Bein gingen. Einmal verstand er, daß der Oheim sagte: »Margreth, zieh dir das nicht zu Gemüt; wir wollen jeder drei Messen lesen lassen, und um Ostern gehen wir zusammen eine Bittfahrt zur Mutter Gottes von Werl."
51,333,13345,13458,"Als nach zwei Tagen die Leiche fortgetragen wurde, saß Margreth am Herde, das Gesicht mit der Schürze verhüllend."
52,34,13538,14724,"Zehn Jahre, zehn Kreuze! Wir haben sie doch zusammen getragen, und jetzt bin ich allein! »Dann lauter: »Fritzchen, komm her!« – Friedrich kam scheu heran; die Mutter war ihm ganz unheimlich geworden mit den schwarzen Bändern und den verstörten Zügen. »Fritzchen«, sagte sie, »willst du jetzt auch fromm sein, daß ich Freude an dir habe, oder willst du unartig sein und lügen, oder saufen und stehlen?« – »Mutter, Hülsmeyer stiehlt.« – »Hülsmeyer? Gott bewahre! Soll ich dir auf den Rücken kommen? Wer sagt dir so schlechtes Zeug?« – »Er hat neulich den Aaron geprügelt und ihm sechs Groschen genommen.« – »Hat er dem Aaron Geld genommen, so hat ihn der verfluchte Jude gewiß zuvor darum betrogen. Hülsmeyer ist ein ordentlicher angesessener Mann, und die Juden sind alle Schelme.« – »Aber, Mutter, Brandis sagt auch, daß er Holz und Rehe stiehlt.« – »Kind, Brandis ist ein Förster.« – »Mutter, lügen die Förster?«
Margreth schwieg eine Weile, dann sagte sie: »Höre, Fritz, das Holz läßt unser Herrgott frei wachsen, und das Wild wechselt aus eines Herren Lande in das andere; die können niemand angehören. Doch das verstehst du noch nicht; jetzt geh in den Schuppen und hole mir Reisig."
53,345,14726,14843,"Friedrich hatte seinen Vater auf dem Stroh gesehen, wo er, wie man sagt, blau und fürchterlich ausgesehen haben soll."
54,779,14922,14995,die Erinnerung an seinen Vater eine mit Grausen gemischte Zärtlichkeit in
55,38,15016,15124,"wie denn nichts so fesselt wie die Liebe und Sorgfalt eines Wesens, das gegen alles übrige verhärtet scheint"
56,40,15130,15414,"bei Friedrich wuchs dieses Gefühl mit den Jahren durch das Gefühl mancher Zurücksetzung von seiten anderer. Es war ihm äußerst empfindlich, wenn, solange er Kind war, jemand des Verstorbenen nicht allzu löblich gedachte; ein Kummer, den ihm das Zartgefühl der Nachbarn nicht ersparte."
57,42,15415,16030,"Es ist gewöhnlich in jenen Gegenden, den Verunglückten die Ruhe im Grabe abzusprechen. Der alte Mergel war das Gespenst des Brederholzes geworden; einen Betrunkenen führte er als Irrlicht bei einem Haar in den Zellerkolk; die Hirtenknaben, wenn sie nachts bei ihren Feuern kauerten und die Eulen in den Gründen schrieen, hörten zuweilen in abgebrochenen Tönen ganz deutlich dazwischen sein »Hör mal an, feins Liseken«, und ein unprivilegierter Holzhauer, der unter der breiten Eiche eingeschlafen und dem es darüber Nacht geworden war, hatte beim Erwachen sein geschwollenes Gesicht durch die Zweige lauschen sehen."
58,46,16031,16393,"Friedrich mußte von andern Knaben vieles darüber hören; dann heulte er, schlug um sich, stach auch einmal mit seinem Messerchen und wurde bei dieser Gelegenheit jämmerlich geprügelt. Seitdem trieb er seiner Mutter Kühe allein an das andere Ende des Tales, wo man ihn oft stundenlang in derselben Stellung im Grase liegen und den Thymian aus dem Boden rupfen sah."
59,195,16586,17120,"Simon Semmler war ein kleiner, unruhiger, magerer Mann mit vor dem Kopf liegenden Fischaugen und überhaupt einem Gesicht wie ein Hecht, ein unheimlicher Geselle, bei dem dicktuende Verschlossenheit oft mit ebenso gesuchter Treuherzigkeit wechselte, der gern einen aufgeklärten Kopf vorgestellt hätte und statt dessen für einen fatalen, Händel suchenden Kerl galt, dem jeder um so lieber aus dem Wege ging, je mehr er in das Alter trat, wo ohnehin beschränkte Menschen leicht an Ansprüchen gewinnen, was sie an Brauchbarkeit verlieren."
60,1104,17164,17209,sonst keinen der Ihrigen mehr am Leben hatte.
61,347,17211,17356,"Simon, bist du da?« sagte sie und zitterte, daß sie sich am Stuhle halten mußte. »Willst du sehen, wie es mir geht und meinem schmutzigen Jungen?"
62,668,17541,18432,"Ja, Mädchen, zu spät gefreit hat immer gereut! Jetzt bist du alt, und das Kind ist klein. Jedes Ding hat seine Zeit. Aber wenn ein altes Haus brennt, dann hilft kein Löschen.« – Über Margreths vergrämtes Gesicht flog eine Flamme, so rot wie Blut.
»Aber ich höre, dein Junge ist schlau und gewichst«, fuhr Simon fort. – »Ei nun, so ziemlich, und dabei fromm.« – »Hum, 's hat mal einer eine Kuh gestohlen, der hieß auch Fromm. Aber er ist still und nachdenklich, nicht wahr? Er läuft nicht mit den anderen Buben?« – »Er ist ein eigenes Kind«, sagte Margreth wie für sich, »es ist nicht gut.« – Simon lachte hell auf: »Dein Junge ist scheu, weil ihn die anderen ein paarmal gut durchgedroschen haben. Das wird ihnen der Bursche schon wieder bezahlen. Hülsmeyer war neulich bei mir, der sagte: ›Es ist ein Junge wie 'n Reh.‹«
Welcher Mutter geht das Herz nicht auf, wenn sie ihr Kind loben hört?"
63,793,18473,18529,jedermann nannte ihren Jungen tückisch und verschlossen.
64,1166,18646,18679,"Er hat viel von dir, Simon, viel."
65,1115,18681,19081,"Simon lachte: »Ei, das muß ein rarer Kerl sein, ich werde alle Tage schöner. An der Schule soll er sich wohl nicht verbrennen. Du läßt ihn die Kühe hüten? Ebenso gut. Es ist doch nicht halb wahr, was der Magister sagt. Aber wo hütet er? Im Telgengrund? im Roderholze? im Teutoburger Wald? auch des Nachts und früh?« – »Die ganzen Nächte durch; aber wie meinst du das?«
Simon schien dies zu überhören;"
66,1785,19283,19398,"In der Mutter Züge kam ein heimliches, stolzes Lächeln; ihres Friedrichs blonde Locken und Simons rötliche Bürsten!"
67,670,19599,19637,denn sie kannte seine störrische Natur
68,1117,19643,19706,Simons Weise war ihr heute einschüchternder vorgekommen als je.
69,474,19920,19969,eine Art Adoption des Knaben in Vorschlag brachte
70,351,20114,20219,"dann am Ende des alten Junggesellen Erbe zufallen solle, das ihm freilich ohnedies nicht entgehen konnte."
71,353,20451,20509,"bereits gewöhnt hat, die Stelle einer Tochter zu ersetzen."
72,1368,20510,20549,Doch sie schwieg und gab sich in alles.
73,1119,20562,20623,"den Bruder, streng, doch nicht hart gegen den Knaben zu sein."
74,1121,20682,20744,"mein Kind ist nicht wie einer, über den Vaterhand regiert hat."
75,672,20836,20853,und weißt du was?
76,65,21043,21980,"Und bald sah Margreth den beiden nach, wie sie fortschritten, Simon voran, mit seinem Gesicht die Luft durchschneidend, während ihm die Schöße des roten Rocks wie Feuerflammen nachzogen. So hatte er ziemlich das Ansehen eines feurigen Mannes, der unter dem gestohlenen Sacke büßt; Friedrich ihm nach, fein und schlank für sein Alter, mit zarten, fast edlen Zügen und langen, blonden Locken, die besser gepflegt waren, als sein übriges Äußere erwarten ließ; übrigens zerlumpt, sonneverbrannt und mit dem Ausdruck der Vernachlässigung und einer gewissen rohen Melancholie in den Zügen. Dennoch war eine große Familienähnlichkeit beider nicht zu verkennen, und wie Friedrich so langsam seinem Führer nachtrat, die Blicke fest auf denselben geheftet, der ihn gerade durch das Seltsame seiner Erscheinung anzog, erinnerte er unwillkürlich an jemand, der in einem Zauberspiegel das Bild seiner Zukunft mit verstörter Aufmerksamkeit betrachtet."
77,355,22010,22138,"der Stelle des Teutoburger Waldes, wo das Brederholz den Abhang des Gebirges niedersteigt und einen sehr dunkeln Grund ausfüllt."
78,676,22353,22387,"frage, trinkst du gern Branntwein?"
79,678,22505,22535,Kennst du das Holz da vor uns?
80,591,22568,22604,"Weißt du auch, was darin vorgefallen"
81,680,22686,22802,"Betet die Mutter noch so viel?« hob Simon wieder an. – »Ja, jeden Abend zwei Rosenkränze.« – »So? Und du betest mit?"
82,1650,22806,22874,Der Knabe lachte halb verlegen mit einem durchtriebenen Seitenblick.
83,1193,22878,23054,"Die Mutter betet in der Dämmerung vor dem Essen den einen Rosenkranz, dann bin ich meist noch nicht wieder da mit den Kühen, und den andern im Bette, dann schlaf ich gewöhnlich"
84,272,23084,24059,"Diese letzten Worte wurden unter dem Schirme einer weiten Buche gesprochen, die den Eingang der Schlucht überwölbte. Es war jetzt ganz finster; das erste Mondviertel stand am Himmel, aber seine schwachen Schimmer dienten nur dazu, den Gegenständen, die sie zuweilen durch eine Lücke der Zweige berührten, ein fremdartiges Ansehen zu geben. Friedrich hielt sich dicht hinter seinem Ohm; sein Odem ging schnell, und wer seine Züge hätte unterscheiden können, würde den Ausdruck einer ungeheuren, doch mehr phantastischen als furchtsamen Spannung darin wahrgenommen haben. So schritten beide rüstig voran, Simon mit dem festen Schritt des abgehärteten Wanderers, Friedrich schwankend und wie im Traum. Es kam ihm vor, als ob alles sich bewegte und die Bäume in den einzelnen Mondstrahlen bald zusammen, bald voneinander schwankten. Baumwurzeln und schlüpfrige Stellen, wo sich das Regenwasser gesammelt, machten seinen Schritt unsicher; er war einige Male nahe daran, zu fallen."
85,197,24178,24730,"Der Mond schien klar hinein und zeigte, daß hier noch vor kurzem die Axt unbarmherzig gewütet hatte. Überall ragten Baumstümpfe hervor, manche mehrere Fuß über der Erde, wie sie gerade in der Eile am bequemsten zu durchschneiden gewesen waren; die verpönte Arbeit mußte unversehens unterbrochen worden sein, denn eine Buche lag quer über dem Pfad, in vollem Laube, ihre Zweige hoch über sich streckend und im Nachtwinde mit den noch frischen Blättern zitternd. Simon blieb einen Augenblick stehen und betrachtete den gefällten Stamm mit Aufmerksamkeit."
86,430,24731,24959,"In der Mitte der Lichtung stand eine alte Eiche, mehr breit als hoch; ein blasser Strahl, der durch die Zweige auf ihren Stamm fiel, zeigte, daß er hohl sei, was ihn wahrscheinlich vor der allgemeinen Zerstörung geschützt hatte."
87,504,24960,25628,"Hier ergriff Simon plötzlich des Knaben Arm.
»Friedrich, kennst du den Baum? Das ist die breite Eiche.« – Friedrich fuhr zusammen und klammerte sich mit kalten Händen an seinen Ohm. »Sieh«, fuhr Simon fort, »hier haben Ohm Franz und der Hülsmeyer deinen Vater gefunden, als er in der Betrunkenheit ohne Buße und Ölung zum Teufel gefahren war.« – »Ohm, Ohm!« keuchte Friedrich. – »Was fällt dir ein? Du wirst dich doch nicht fürchten? Satan von einem Jungen, du kneipst mir den Arm! Laß los, los!« – Er suchte den Knaben abzuschütteln. – »Dein Vater war übrigens eine gute Seele; Gott wirds nicht so genau mit ihm nehmen. Ich hatt ihn so lieb wie meinen eigenen Bruder."
88,697,25632,25730,Friedrich ließ den Arm seines Ohms los; beide legten schweigend den übrigen Teil des Waldes zurück
